BAND,EVENT_DATE,EVENT_YEAR,EVENT_MONTH,LAT_DD,LON_DD
B87855484694,05/09/2019,2019,5,47.5,-70.5
B57855482102,05/11/2019,2019,5,47.5,-70.5
B77855482798,05/13/2019,2019,5,47.5,-70.5
B87855482618,05/13/2019,2019,5,47.5,-70.5
B47855482924,05/13/2019,2019,5,47.5,-70.5
B57855480105,05/14/2019,2019,5,47.5,-70.5
B87855480535,05/14/2019,2019,5,47.5,-70.5
B57855480595,05/14/2019,2019,5,47.5,-70.5
B07855480385,05/14/2019,2019,5,47.5,-70.5
B47855480208,05/14/2019,2019,5,47.5,-70.5
B57855488995,05/18/2019,2019,5,47.5,-70.5
B57855488268,05/18/2019,2019,5,47.5,-70.5
B77855480885,05/18/2019,2019,5,47.5,-70.5
B57855480745,05/18/2019,2019,5,47.5,-70.5
B47855488848,05/18/2019,2019,5,47.5,-70.5
B77855488408,05/18/2019,2019,5,47.5,-70.5
B77855480964,05/18/2019,2019,5,47.5,-70.5
B47855455405,05/16/2020,2020,5,47.5,-70.5
B57855455155,05/16/2020,2020,5,47.5,-70.5
B77855454804,05/17/2020,2020,5,47.5,-70.5
B57855455985,05/17/2020,2020,5,47.5,-70.5
B77855452087,04/29/2021,2021,4,47.5,-70.5
B57855452035,04/29/2021,2021,4,47.5,-70.5
B97855459745,05/03/2021,2021,5,47.5,-70.5
B77855458485,05/03/2021,2021,5,47.5,-70.5
B57855457257,05/06/2021,2021,5,47.5,-70.5
B57855456055,05/06/2021,2021,5,47.5,-70.5
B67855456626,05/09/2021,2021,5,47.5,-70.5
B88475059684,04/22/2002,2002,4,47.91667,-66.75
B88475059684,04/23/2002,2002,4,47.91667,-66.75
B78475091547,05/07/2003,2003,5,47.91667,-66.75
B48475626176,05/13/2003,2003,5,47.91667,-66.75
B78475091547,05/13/2003,2003,5,47.91667,-66.75
B48475626176,05/63/2003,2003,5,47.91667,-66.75
B48495344789,04/24/2004,2004,4,47.91667,-66.75
B08495387037,05/08/2005,2005,5,47.91667,-66.75
B08495387037,05/15/2005,2005,5,47.91667,-66.75
B48475626176,04/10/2006,2006,4,48.08333,-66.58333
B48475626176,04/17/2006,2006,4,47.98194,-66.71278
B48475626176,04/19/2006,2006,4,47.98194,-66.71278
B08495387037,04/22/2006,2006,4,47.98194,-66.71278
B08495387037,04/28/2007,2007,4,47.98194,-66.71278
B38215038452,04/29/2007,2007,4,47.98194,-66.71278
B38495234615,05/07/2007,2007,5,47.98194,-66.71278
B98495915729,05/07/2007,2007,5,47.98194,-66.71278
B48475626176,04/25/2009,2009,4,47.91667,-66.75
B48475626176,05/04/2009,2009,5,47.91667,-66.75
B48475626176,05/08/2010,2010,5,48.08333,-66.75
B48495344789,05/08/2010,2010,5,48.08333,-66.75
B78165780047,04/02/2012,2012,4,47.91667,-66.75
B78165780047,04/12/2012,2012,4,48.00667,-66.69167
B78165780047,04/20/2012,2012,4,48.08333,-66.75
B78165780047,04/30/2012,2012,4,47.91667,-66.75
B78165780047,05/02/2012,2012,5,47.91667,-66.75
B77965381207,05/06/2018,2018,5,48.10029,-66.72857
B77965381207,05/19/2019,2019,5,47.99085,-66.7172
B28215038895,10/26/2006,2006,10,45.25,-76.25
B48495217858,04/11/2007,2007,4,45.41667,-74.91667
B58025140910,03/28/2011,2011,3,45.08333,-74.41667
B58165068671,03/29/2011,2011,3,45.08333,-74.41667
B18165700491,03/29/2011,2011,3,45.08333,-74.41667
B38025137733,03/29/2011,2011,3,45.08333,-74.41667
B68165781146,03/29/2011,2011,3,45.08333,-74.41667
B68165765015,03/30/2011,2011,3,45.08333,-74.41667
B68165076907,11/13/2012,2012,11,45.30675,-74.63911
B08025136735,11/15/2014,2014,11,45.25657,-74.57598
B08025136735,04/07/2015,2015,4,45.25778,-74.59583
B58025558555,04/07/2015,2015,4,45.25778,-74.59583
B58165068671,04/08/2015,2015,4,45.25778,-74.59583
B67965906786,11/03/2015,2015,11,45.31139,-74.98322
B97965973883,11/09/2015,2015,11,45.26139,-74.97
B28025132623,11/11/2015,2015,11,45.31025,-74.98262
B17965386158,11/11/2015,2015,11,45.31502,-75.39383
B77965902007,11/23/2015,2015,11,45.09411,-75.27932
B87965969837,03/12/2016,2016,3,45.15699,-74.43445
B98215959009,03/12/2016,2016,3,45.15699,-74.43445
B57965965796,03/12/2016,2016,3,45.15699,-74.43445
B57965357175,03/18/2016,2016,3,45.1795,-74.45985
B28215070171,03/18/2016,2016,3,45.17945,-74.45993
B68165069149,03/18/2016,2016,3,45.2703,-74.32253
B37965381328,04/04/2016,2016,4,45.3129,-74.96953
B08025136735,04/05/2016,2016,4,45.30778,-74.98694
B67965632927,04/17/2016,2016,4,45.55611,-74.88778
B67865578665,10/31/2016,2016,10,45.30557,-74.98866
B57965919551,11/06/2016,2016,11,45.31139,-75.08583
B37965935899,11/06/2016,2016,11,45.31139,-75.08583
B67965281065,11/06/2016,2016,11,45.31139,-75.08583
B18105104330,11/06/2016,2016,11,45.31139,-75.08583
B67965289068,11/06/2016,2016,11,45.31139,-75.08583
B87865836528,11/07/2016,2016,11,45.30559,-75.08463
B97965240815,03/17/2017,2017,3,45.15689,-74.43477
B77965932966,03/29/2017,2017,3,45.20889,-74.46337
B37965386765,03/30/2017,2017,3,45.10361,-75.21884
B97965911966,03/30/2017,2017,3,45.10361,-75.21884
B67965240904,04/03/2017,2017,4,45.2475,-74.58846
B98495238024,04/03/2017,2017,4,45.2475,-74.58846
B87965283417,04/08/2017,2017,4,45.3769,-75.42026
B77865570055,04/08/2017,2017,4,45.3769,-75.42026
B67865562936,04/24/2017,2017,4,45.39878,-75.39641
B87865836528,10/13/2017,2017,10,45.31883,-75.00371
B87865579617,11/15/2017,2017,11,45.31139,-75.02221
B77815712121,11/15/2017,2017,11,45.22387,-74.40324
B87865508978,11/28/2017,2017,11,45.19537,-75.32512
B87865566975,12/10/2017,2017,12,45.18278,-75.35278
B87865579617,12/10/2017,2017,12,45.18278,-75.35278
B27965248289,03/26/2018,2018,3,45.13826,-74.518
B67865562058,03/29/2018,2018,3,45.15869,-74.44059
B67865508820,03/29/2018,2018,3,45.15873,-74.44051
B87865579617,03/29/2018,2018,3,45.15874,-74.44056
B87865572655,03/29/2018,2018,3,45.15873,-74.44051
B67865578665,03/29/2018,2018,3,45.15864,-74.44082
B67965632126,03/29/2018,2018,3,45.15864,-74.44082
B57865838995,03/31/2018,2018,3,45.44634,-74.93247
B57965966036,03/31/2018,2018,3,45.44634,-74.93247
B67965916306,03/31/2018,2018,3,45.44634,-74.93247
B77965245925,04/13/2018,2018,4,45.24757,-74.58852
B57865838995,04/13/2018,2018,4,45.24925,-74.59242
B57865564368,11/03/2018,2018,11,45.385,-74.90556
B87965283417,11/04/2018,2018,11,45.26139,-74.97
B78165702685,11/04/2018,2018,11,45.26139,-74.97
B77965932966,11/04/2018,2018,11,45.26139,-74.97
B87865508978,11/17/2018,2018,11,45.09194,-75.35222
B77865570727,03/25/2019,2019,3,44.88666,-75.19525
B77815022722,03/25/2019,2019,3,44.88666,-75.19525
B87855764018,03/25/2019,2019,3,44.88666,-75.19525
B87865572655,03/25/2019,2019,3,44.88739,-75.19597
B77865570055,03/25/2019,2019,3,44.88761,-75.19581
B77815097661,03/26/2019,2019,3,44.88749,-75.19555
B07815097960,03/26/2019,2019,3,44.88751,-75.19568
B77855764567,03/26/2019,2019,3,44.88666,-75.19525
B27965248289,03/27/2019,2019,3,44.88755,-75.19572
B77815097045,03/27/2019,2019,3,44.88742,-75.19554
B77865570055,03/27/2019,2019,3,44.88666,-75.19525
B07815095039,03/27/2019,2019,3,44.88666,-75.19525
B97965248814,03/27/2019,2019,3,44.88666,-75.19525
B87815730657,03/27/2019,2019,3,44.88666,-75.19525
B57965285078,03/27/2019,2019,3,44.8873,-75.19555
B77865570965,03/27/2019,2019,3,44.88666,-75.19525
B57865568207,03/27/2019,2019,3,44.88666,-75.19525
B17815091261,03/27/2019,2019,3,44.88666,-75.19525
B87855764896,03/27/2019,2019,3,44.88666,-75.19525
B87815700011,03/27/2019,2019,3,44.88748,-75.19585
B58025528122,03/27/2019,2019,3,44.88666,-75.19525
B97815091891,03/27/2019,2019,3,44.88666,-75.19525
B47815095435,03/31/2019,2019,3,45.25778,-74.59583
B17965911177,04/06/2019,2019,4,45.43611,-75.15806
B57865576117,04/09/2019,2019,4,45.18943,-74.43336
B28025132623,04/12/2019,2019,4,45.27999,-75.29372
B17815022828,04/12/2019,2019,4,45.27999,-75.29372
B57865571955,04/12/2019,2019,4,45.28352,-75.29116
B77855764368,04/12/2019,2019,4,45.28187,-75.29313
B67865575226,04/12/2019,2019,4,45.28381,-75.29107
B47815095435,04/12/2019,2019,4,45.28187,-75.29348
B17815730108,04/14/2019,2019,4,45.39577,-74.92475
B57965966279,04/14/2019,2019,4,45.39553,-74.92578
B77865566485,04/14/2019,2019,4,45.39165,-74.92834
B57815022915,04/14/2019,2019,4,45.39553,-74.92543
B97965967807,04/14/2019,2019,4,45.39553,-74.92543
B87965386376,04/14/2019,2019,4,45.39165,-74.92834
B37815730850,04/14/2019,2019,4,45.39165,-74.92834
B97965288177,04/14/2019,2019,4,45.39165,-74.92834
B57965919316,04/14/2019,2019,4,45.3953,-74.92647
B97965967616,04/14/2019,2019,4,45.39553,-74.92578
B07815730780,04/14/2019,2019,4,45.39506,-74.92681
B37965617356,04/14/2019,2019,4,45.39433,-74.92716
